Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Count of Monte Cristo,Alexandre Dumas,Robin Buss (Translator),9780141901251,digital,to-read,2016/11/26,"","",0,"",,,,,,,,,"",,literary-fiction,Yes
"Sword Stone Table: Old Legends, New Voices","Jenn Northington, Swapna Krishna","Alexander Chee, Preeti Chhibber, Roshani Chokshi, Sive Doyle, Maria Dahvana Headley, Ausma Zehanat Khan, Daniel M. Lavery, Ken Liu, Sarah MacLean, Silvia Moreno-Garcia, Jessica Plummer, Anthony Rapp, Waubgeshig Rice, Alex Segura, Nisi Shawl, S. Zainab Williams",9780593081891,paperback,to-read,2022/12/13,"","",0,"",,,,,,,,,"",,"",No
"The Upside of Stress: Why Stress Is Good for You, and How to Get Good at It",Kelly McGonigal,"",9781583335611,hardcover,to-read,2021/03/30,"","",0,"",,,,,,,,,"",,"",No
Jingo,Terry Pratchett,"",9781473200258,hardcover,to-read,2017/05/15,"","",0,"",,,,,,,,,"",,fantasy,No
Pride and Prejudice,Jane Austen,"",9780764203886,paperback,to-read,2016/12/02,"","",0,"",,,,,,,,,"",,"",No
Paradais,Fernanda Melchor,Sophie Hughes (Translator),9781922458407,paperback,to-read,2022/06/03,"","",0,"",,,,,,,,,"",,"",No
Prince of Thorns,Mark Lawrence,"",9781937007683,paperback,read,2017/01/15,2018/05/31,2018/05/31,1,"",,,,,,,3.0,3.5,"",,fantasy,No
Dune,Frank Herbert,"",9780143111580,hardcover,read,2017/01/06,2021/08/14,2021/08/14,1,"",,,,,,,4.0,,"",,science-fiction,No
Bronze Drum: A Novel of Sisters and War,Phong Nguyen,"",9781538753705,paperback,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
Red Seas Under Red Skies,Scott Lynch,"",9780553804683,hardcover,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,Yes
"Sing, Unburied, Sing",Jesmyn Ward,"",9781501126062,hardcover,to-read,2017/10/04,"","",0,"",,,,,,,,,"",,literary-fiction,No
A Memory of Light,"Brandon Sanderson, Robert Jordan","",9780765325952,hardcover,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
The Disaster Tourist,Yun Ko-eun,Lizzie Buehler (Translator),9781640094161,paperback,to-read,2022/01/17,"","",0,"",,,,,,,,,"",,"",No
Flowers of Mold,Ha Seong-nan,Janet Hong (Translator),9781940953960,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Shadow Games,Glen Cook,"",9780812533828,paperback,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
North and South,Elizabeth Gaskell,"",9780140620191,paperback,to-read,2021/12/06,"","",0,"",,,,,,,,,"",,"",No
I Will Die in a Foreign Land,Kalani Pickhart,"",9781953387080,hardcover,to-read,2022/03/17,"","",0,"",,,,,,,,,"",,"",Yes
Animal Farm,George Orwell,"Ann Patchett (Contributor), Téa Obreht (Contributor)",9780452284241,paperback,read,2015/08/12,"","",1,"",,,,,,,2.0,,"",,literary-fiction,No
Piranesi,Susanna Clarke,"",9781635575637,hardcover,read,2022/01/10,2022/01/27,2022/01/23-2022/01/27,1,"adventurous, dark, mysterious",fast,"","",Yes,No,No,4.0,"","","","",No
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,Cornel West,9781595586438,paperback,to-read,2017/01/14,"","",0,"",,,,,,,,,"",,non-fiction,No
Jonathan Strange & Mr Norrell,Susanna Clarke,"",9780765356154,paperback,to-read,2022/01/20,"","",0,"",,,,,,,,,"",,"",Yes
The Black Stallion,Walter Farley,Keith Ward (Illustrator),9780965476027,hardcover,to-read,2018/06/09,"","",0,"",,,,,,,,,"",,classics,No
Steelheart,Brandon Sanderson,"",9780385743563,hardcover,read,2015/07/22,2015/08/15,2015/08/15,1,"",,,,,,,4.0,,"",,science-fiction,Yes
The Architecture of Closed Worlds,Lydia Kallipoliti,"",,,to-read,2022/12/09,"","",0,"",,,,,,,,,"",,"",No
Health Communism: A Surplus Manifesto,"Artie Vierkant, Beatrice Adler-Bolton","",9781839765162,hardcover,to-read,2022/08/18,"","",0,"",,,,,,,,,"",,"",No
Dark Neighbourhood,Vanessa Onwuemezi,"",9781913097707,paperback,to-read,2022/12/31,"","",0,"",,,,,,,,,"",,"",No
A High Wind in Jamaica,Richard Hughes,"",9780940322158,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Klara and the Sun,Kazuo Ishiguro,"",9780593318171,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",Yes
Sula,Toni Morrison,"",9780452283862,paperback,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
Lost Enlightenment: Central Asia's Golden Age from the Arab Conquest to Tamerlane,S. Frederick Starr,"",9780691157733,hardcover,to-read,2018/06/28,"","",0,"",,,,,,,,,"",,"",No
The Housekeeper and the Professor,Yōko Ogawa,Stephen Snyder (Translator),9780312427808,paperback,read,2021/12/11,2022,2022-2022,1,"",,,,,,,,,"",,"",No
The Man in the High Castle,Philip K. Dick,"",9780679740674,paperback,to-read,2015/11/13,"","",0,"",,,,,,,,,"",,science-fiction,Yes
The Bands of Mourning,Brandon Sanderson,"",9780765378576,hardcover,to-read,2015/08/15,"","",0,"",,,,,,,,,"",,fantasy,No
The Housekeeper and the Professor,Yōko Ogawa,Stephen Snyder (Translator),9780312427801,paperback,read,2022/01/12,2022/01/23,2022/01/23-2022/01/23,2,"emotional, reflective, sad",slow,Character,"",Yes,"","",4.25,,"","","",No
The Last Wish,Andrzej Sapkowski,Danusia Stok (Translator),9780575099913,digital,read,2022/01/03,2022/01/08,2022/01/03-2022/01/08,1,adventurous,medium,"","","","","",3.25,"","","","",No
To Kill a Mockingbird,Harper Lee,"",9780060935467,paperback,read,2015/08/12,"","",1,"",,,,,,,5.0,,"",,literary-fiction,No
Circe,Madeline Miller,"",9780316556347,hardcover,to-read,2018/08/08,"","",0,"",,,,,,,,,"",,"",No
Hamlet,William Shakespeare,"Harold Bloom, Rex Gibson",9780521618748,paperback,read,2015/08/12,"","",1,"",,,,,,,5.0,,"",,plays,No
Infinite Jest,David Foster Wallace,"",9780316921176,paperback,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
Time of Contempt,Andrzej Sapkowski,David French (Translator),9781473231092,paperback,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
Fool's Fate,Robin Hobb,"",9780007588978,paperback,read,2015/08/11,"","",1,"",,,,,,,5.0,,"",,"fantasy, favorites",No
The Joy of Basketball: An Encyclopedia of the Modern Game,"Andrew Kuo, Ben Detrick","",9781419754821,hardcover,to-read,2022/12/16,"","",0,"",,,,,,,,,"",,"",No
One Hundred Years of Solitude,Gabriel García Márquez,Gregory Rabassa (Translator),9780679444657,hardcover,to-read,2017/01/04,"","",0,"",,,,,,,,,"",,"literary-fiction, classics",No
The Chronicles of Amber,Roger Zelazny,"",9781857987263,paperback,to-read,2017/01/06,"","",0,"",,,,,,,,,"",,fantasy,No
Another Country,James Baldwin,"",9780141186375,paperback,to-read,2022/01/19,"","",0,"",,,,,,,,,"",,"",No
The Symposium,Plato,Christopher Gill (Translator),9780140449273,paperback,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"",9780307408846,hardcover,to-read,2020/10/16,"","",0,"",,,,,,,,,"",,"",No
Chess Story,Stefan Zweig,Joel Rotenberg (Translator),9781590171691,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
The Road,Cormac McCarthy,"",9780307265432,hardcover,to-read,2022/09/23,"","",0,"",,,,,,,,,"",,"",No
Davos Man: How the Billionaires Devoured the World,Peter S. Goodman,"",9780063239340,paperback,read,2022/09/06,"","",1,"",,,,,,,4.25,"","","","",No
"I Will Teach You to Be Rich, Second Edition: No Guilt. No Excuses. No Bs. Just a 6-Week Program That Works",Ramit Sethi,"",9781523505746,paperback,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
The One-Straw Revolution: An Introduction to Natural Farming,Masanobu Fukuoka,"Frances Moore Lappé, Wendell Berry, Larry Korn",,paperback,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
The Houseguest: And Other Stories,Amparo Dávila,"Matthew Gleeson (Translator), Audrey Harris (Translator)",9780811228213,paperback,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
True Biz,Sara Nović,"",9780593241509,hardcover,to-read,2022/11/22,"","",0,"",,,,,,,,,"",,"",No
The Wall of Storms,Ken Liu,"","",digital,to-read,2021/12/22,"","",0,"",,,,,,,,,"",,"",Yes
The Mountain in the Sea,Ray Nayler,"",9780374605957,hardcover,to-read,2022/08/30,"","",0,"",,,,,,,,,"",,"",No
The Odyssey,Homer,Robert Fagles (Translator),9780143039952,paperback,to-read,2022/09/15,"","",1,"",,,,,,,4.0,,"",,literary-fiction,No
Snow Crash,Neal Stephenson,"",9780553380958,paperback,to-read,2017/01/06,"","",0,"",,,,,,,,,"",,science-fiction,No
Sea of Silver Light,Tad Williams,"",9780756400309,paperback,to-read,2017/12/09,"","",0,"",,,,,,,,,"",,fantasy,No
Men at Arms,Terry Pratchett,"",9781473200197,hardcover,to-read,2017/05/15,"","",0,"",,,,,,,,,"",,fantasy,No
The Fellowship of the Ring,J.R.R. Tolkien,"",9780261103573,paperback,to-read,2021/12/28,"","",0,"",,,,,,,,,"",,"",Yes
Cultish: The Language of Fanaticism,Amanda Montell,"",9780062993151,hardcover,read,2021/12/11,2022/08/06,2022/08/03-2022/08/06,1,informative,fast,,,,,,4.0,"","","","",No
Secret Identity,Alex Segura,"",9781250801746,hardcover,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
Independent People,Halldór Laxness,"",9780679767923,paperback,to-read,2022/12/26,"","",0,"",,,,,,,,,"",,"",No
Half a King,Joe Abercrombie,"",9780804178327,hardcover,to-read,2015/08/12,"","",0,"",,,,,,,,,"",,fantasy,No
Meet Us by the Roaring Sea,Akil Kumarasamy,"",9780374177706,hardcover,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
The Annotated Turing: A Guided Tour Through Alan Turing's Historic Paper on Computability and the Turing Machine,Charles Petzold,"",9780470229057,paperback,to-read,2021/04/28,"","",0,"",,,,,,,,,"",,"",No
The Unbearable Lightness of Being,Milan Kundera,Michael Henry Heim (Translator),9780571224388,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Theft of Swords,Michael J. Sullivan,"",9780316187749,paperback,to-read,2017/02/12,"","",0,"",,,,,,,,,"",,fantasy,No
Kings of the Wyld,Nicholas Eames,"",9780316362474,paperback,read,2017/12/09,2018/12/18,2018/12/18,1,"",,,,,,,3.0,,"",,fantasy,No
A Study in Scarlet,Arthur Conan Doyle,"",9781420925531,paperback,to-read,2021/12/06,"","",0,"",,,,,,,,,"",,"",No
Under the Whispering Door,TJ Klune,"",9781250217349,hardcover,to-read,2022/01/16,"","",0,"",,,,,,,,,"",,"",No
She is the Darkness,Glen Cook,"",9780312859077,paperback,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
The Bear and the Nightingale,Katherine Arden,"",9781101885932,hardcover,read,2017/06/13,2017/06/23,2017/06/23,1,"",,,,,,,3.0,,"",,"",No
Breath: The New Science of a Lost Art,James Nestor,"",9780735213616,hardcover,to-read,2021/03/30,"","",0,"",,,,,,,,,"",,"",No
Paul Takes the Form of a Mortal Girl,Andrea Lawlor,"",9780986086991,paperback,to-read,2022/09/17,"","",0,"",,,,,,,,,"",,"",No
Abundance,Jakob Guanzon,"",9781644450468,paperback,to-read,2022/03/01,"","",0,"",,,,,,,,,"",,"",No
"Yellow Bird: Oil, Murder, and a Woman's Search for Justice in Indian Country",Sierra Crane Murdoch,"",9780399589157,hardcover,to-read,2022/04/02,"","",0,"",,,,,,,,,"",,"",No
No Country for Old Men,Cormac McCarthy,"",9780375706677,paperback,to-read,2022/11/29,"","",0,"",,,,,,,,,"",,"",No
The Girl Who Fell Beneath the Sea,Axie Oh,"",9781250780867,hardcover,to-read,2022/08/19,"","",0,"",,,,,,,,,"",,"",No
Machines in the Head: The Selected Short Writing of Anna Kavan,Anna Kavan,"",9780720620542,hardcover,to-read,2022/12/31,"","",0,"",,,,,,,,,"",,"",No
Preludes & Nocturnes,Neil Gaiman,"Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen Berger, Daniel Vozzo",9781563892271,hardcover,to-read,2015/08/15,"","",0,"",,,,,,,,,"",,fantasy,No
The Hunchback of Notre-Dame,Victor Hugo,"",9781909621619,hardcover,to-read,2019/04/16,"","",0,"",,,,,,,,,"",,classics,No
The Glass Hotel,Emily St. John Mandel,"",9780525521143,hardcover,read,2022/09/06,2022/09/29,2022/09/23-2022/09/29,1,"dark, sad",fast,"","","","","",3.25,"","","","",No
The Long Ships,Frans G. Bengtsson,Michael Meyer,9780006126096,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
Rise of Empire,Michael J. Sullivan,"",9780316187701,paperback,to-read,2017/08/28,"","",0,"",,,,,,,,,"",,fantasy,No
If I Had Your Face,Frances Cha,"",9780593129463,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
The Genesis of Misery,Neon Yang,"",9781250788979,hardcover,to-read,2022/08/30,"","",0,"",,,,,,,,,"",,"",No
The Jakarta Method: Washington's Anticommunist Crusade and the Mass Murder Program That Shaped Our World,Vincent Bevins,"",9781541742406,hardcover,to-read,2022/07/30,"","",0,"",,,,,,,,,"",,"",No
The Dragonbone Chair,Tad Williams,"",9780756402693,paperback,to-read,2017/12/09,"","",0,"",,,,,,,,,"",,fantasy,No
The Life-Changing Magic of Tidying Up,Marie Kondō,Cathy Hirano (Translator),9781607747307,hardcover,to-read,2019/01/11,"","",0,"",,,,,,,,,"",,motivation-self-improvement,No
Luster,Raven Leilani,"",9780374194321,hardcover,to-read,2022/01/11,"","",0,"",,,,,,,,,"",,"",No
Runaway Horses,Yukio Mishima,"Michael Gallagher (Translator), Michael Gallagher (Translator)",9780099282891,paperback,to-read,2018/06/26,"","",0,"",,,,,,,,,"",,classics,No
Goodbye Tsugumi,Banana Yoshimoto,Michael Emmerich (Translator),9780571212798,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
The Book Eaters,Sunyi Dean,"",9781250810182,hardcover,to-read,2022/11/16,"","",0,"",,,,,,,,,"",,"",No
Jade City,Fonda Lee,"",9780316440882,paperback,to-read,2021/12/26,"","",0,"",,,,,,,,,"",,"",Yes
The Stone of Farewell,Tad Williams,"",9780756402976,paperback,to-read,2017/12/09,"","",0,"",,,,,,,,,"",,fantasy,No
Beyond Good and Evil,Friedrich Nietzsche,R.J. Hollingdale (Translator),9780140449235,paperback,to-read,2018/02/04,"","",0,"",,,,,,,,,"",,non-fiction,No
Normal People,Sally Rooney,"",9781984822178,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
To Paradise,Hanya Yanagihara,"",9780385547932,hardcover,to-read,2022/01/23,"","",0,"",,,,,,,,,"",,"",No
The Price of Valour,Django Wexler,"",,,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
The Shadow of What Was Lost,James Islington,"",9780992580209,paperback,to-read,2017/01/04,"","",0,"",,,,,,,,,"",,fantasy,No
Recursion,Blake Crouch,"",9781524759780,hardcover,to-read,2021/12/11,"","",0,"",,,,,,,,,"",,"",No
Home Fire,Kamila Shamsie,"",9780735217683,hardcover,to-read,2021/12/06,"","",0,"",,,,,,,,,"",,"",No
Earthlings,Sayaka Murata,Ginny Tapley Takemori (Translator),9781783785674,hardcover,to-read,2022/04/14,"","",0,"",,,,,,,,,"",,"",No
The Inconvenient Indian: A Curious Account of Native People in North America,Thomas King,"",9780385674058,digital,to-read,2017/01/13,"","",0,"",,,,,,,,,"",,"",No
Lord of the Flies,William Golding,"",9780140283334,paperback,read,2015/08/12,"","",1,"",,,,,,,3.0,,"",,literary-fiction,No
Blue Bamboo: Japanese Tales of Fantasy,"Osamu Dazai, Ralph F. McCarthy","",,,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
The Prince,Niccolò Machiavelli,"Rufus Goodwin (Translator), Benjamin Martinez (Illustrator)",9780937832387,paperback,to-read,2018/06/28,"","",0,"",,,,,,,,,"",,"classics, non-fiction",No
The Crimson Campaign,Brian McClellan,"",9780356502021,hardcover,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
Legends II,Robert Silverberg,"Terry Brooks, Diana Gabaldon, Neil Gaiman, George R.R. Martin, Anne McCaffrey, Elizabeth Haydon, Robin Hobb, Orson Scott Card, Tad Williams, Raymond E. Feist",9780345456441,hardcover,to-read,2018/06/09,"","",0,"",,,,,,,,,"",,fantasy,No
Between the World and Me,Ta-Nehisi Coates,"",9780812983814,hardcover,did-not-finish,2016/02/20,"","",0,"",,,,,,,,,"",,non-fiction,No
How to Kill Your Family,Bella Mackie,"",9780008365912,hardcover,to-read,2022/01/10,"","",0,"",,,,,,,,,"",,"",No
Our Korean Kitchen,"Jordan Bourke, Rejina Pyo","",,digital,to-read,2018/06/27,"","",0,"",,,,,,,,,"",,cookbooks,No
All About H. Hatterr,"Anthony Burgess, G.V. Desani","",,,to-read,2022/01/13,"","",0,"",,,,,,,,,"",,"",No
Mao: The Unknown Story,"Jung Chang, Jon Halliday","",9780679746324,paperback,to-read,2019/02/01,"","",0,"",,,,,,,,,"",,history,No
Northanger Abbey,Jane Austen,Alfred Mac Adam,9781593082642,paperback,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
Saga Land,"Richard Fidler, Kari Gíslason","",9781460708200,digital,to-read,2022/01/08,"","",0,"",,,,,,,,,"",,"",No
The Deficit Myth,Stephanie Kelton,"",9781541736184,hardcover,to-read,2021/12/22,"","",0,"",,,,,,,,,"",,"",Yes
Shadowplay,Tad Williams,"",9780756403584,hardcover,to-read,2017/09/09,"","",0,"",,,,,,,,,"",,fantasy,No
The Thousand Names,Django Wexler,"",9780451465108,hardcover,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,No
A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,Victor Harris (Translator),9780517415283,hardcover,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Pure Colour,Sheila Heti,"",9780374603946,hardcover,to-read,2022/03/17,"","",0,"",,,,,,,,,"",,"",No
Seek You: A Journey Through American Loneliness,Kristen Radtke,"",9781524748067,hardcover,to-read,2022/12/09,"","",0,"",,,,,,,,,"",,"",No
Hue 1968: A Turning Point of the American War in Vietnam,Mark Bowden,"",9780802127006,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,"history, non-fiction",No
Jane Eyre,Charlotte Brontë,"",9780142437209,paperback,read,2017/03/08,2017/12/18,2017/12/18,1,"",,,,,,,4.0,,"",,classics,No
Beowulf,Anonymous,Seamus Heaney (Translator),9780393320978,paperback,read,2015/08/12,"","",1,"",,,,,,,2.0,,"",,fantasy,No
The Iliad,Homer,Robert Fagles (Translator),9780140275360,paperback,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Violets,Kyung-sook Shin ,Anton Hur (Translator),9781558612907,paperback,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
Notes From Underground,Fyodor Dostoevsky,"",9781365147371,paperback,read,2021/12/11,2022/01/01,2021/12/20-2022/01/01,1,"",,,,,,,,,"",,"",Yes
The Hole,Hiroko Oyamada,David Boyd (Translator),9780811228879,paperback,read,2022/09/23,"","",1,"",,"","","","","",3.0,"","","","",No
An Elegant Puzzle: Systems of Engineering Management,Will Larson,"",,digital,to-read,2022/02/09,"","",0,"",,,,,,,,,"",,"",No
Shadowrise,Tad Williams,"",9780756405496,hardcover,to-read,2017/09/09,"","",0,"",,,,,,,,,"",,fantasy,No
"Without You, There Is No Us: My Time with the Sons of North Korea's Elite",Suki Kim,"",9780307720658,hardcover,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
The Infinite Machine: How an Army of Crypto-Hackers Is Building the Next Internet with Ethereum,Camila Russo,"",9780062886149,hardcover,to-read,2021/03/30,"","",0,"",,,,,,,,,"",,"",No
The Satanic Verses,Salman Rushdie,"","",,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
The Anatomy of Fascism,Robert O. Paxton,"",9780713997200,hardcover,to-read,2020/10/16,"","",0,"",,,,,,,,,"",,"",No
Catch-22,Joseph Heller,"",9780679437222,hardcover,to-read,2016/12/02,"","",0,"",,,,,,,,,"",,"literary-fiction, classics",Yes
Arcadia,Iain Pears,"",9780571301584,paperback,to-read,2017/01/13,"","",0,"",,,,,,,,,"",,fantasy,No
Oh William!,Elizabeth Strout,"",9780812989434,hardcover,to-read,2022/11/19,"","",0,"",,,,,,,,,"",,"",No
The Path of Daggers,Robert Jordan,"",9780812550290,paperback,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
We Spread,Iain Reid,"",9781982169350,hardcover,to-read,2022/11/23,"","",0,"",,,,,,,,,"",,"",No
1984,George Orwell,"",9780679417392,hardcover,to-read,2017/01/04,"","",0,"",,,,,,,,,"",,literary-fiction,No
Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,"",9781951658137,digital,to-read,2022/01/10,"","",0,"",,,,,,,,,"",,"",No
Ready Player One,Ernest Cline,"",9780307887436,hardcover,read,2015/07/16,2016/01/07,2016/01/07,1,"",,,,,,,4.0,,"",,science-fiction,No
The Black Tides of Heaven,Neon Yang,"",9780765395412,paperback,to-read,2021/12/26,"","",0,"",,,,,,,,,"",,"",No
Kitchen,Banana Yoshimoto,Megan Backus (Translator),9780802142443,paperback,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
Hard Rain Falling,Don Carpenter,"",9781590173244,paperback,to-read,2022/07/13,"","",0,"",,,,,,,,,"",,"",No
The Book of Disquiet,Fernando Pessoa,Richard Zenith (Translator),9780141183046,paperback,to-read,2022/10/16,"","",0,"",,,,,,,,,"",,"",No
Lambda,David Musgrave,"",9781609457655,digital,to-read,2022/12/26,"","",0,"",,,,,,,,,"",,"",Yes
The Mage and the Master Spy,Scott Lynch,"","",,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
The Vegetarian,Han Kang,Deborah Smith (Translator),9780553448184,hardcover,to-read,2018/06/28,"","",0,"",,,,,,,,,"",,international,No
A Brief History of Equality,Thomas Piketty,"",9780674273559,hardcover,read,2022/06/24,2022/08/25,2022/08/18-2022/08/25,1,"hopeful, informative",,,,,,,5.0,"","","","",No
The Curious Case of Benjamin Button and Six Other Stories,F. Scott Fitzgerald,"",9780141190198,paperback,to-read,2022/01/10,"","",0,"",,,,,,,,,"",,"",No
The Haunting of Tram Car 015,P. Djèlí Clark,"",9781250294807,paperback,currently-reading,2022/12/12,"","",0,"",,,,,,,,,"",,"",No
Blue Bamboo: Tales by Dazai Osamu,"Ralph McCarthy, Osamu Dazai","",,,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
"Ottolenghi Test Kitchen: Shelf Love: Recipes to Unlock the Secrets of Your Pantry, Fridge, and Freezer: A Cookbook","Noor Murad, Yotam Ottolenghi","",9780593234365,paperback,to-read,2022/02/06,"","",0,"",,,,,,,,,"",,"",No
Snuff,Terry Pratchett,"",9780385619264,hardcover,to-read,2017/05/15,"","",0,"",,,,,,,,,"",,fantasy,No
Things Fall Apart,Chinua Achebe,"",9780385667838,paperback,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
"Last Hope Island: Britain, Occupied Europe, and the Brotherhood That Helped Turn the Tide of War",Lynne Olson,"",9780812997354,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,"history, non-fiction",No
Inherit the Night,Scott Lynch,"",,,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
The Haunting of Hill House,Shirley Jackson,Laura Miller,9780143039983,paperback,to-read,2019/05/27,"","",0,"",,,,,,,,,"",,classics,No
The Intelligent Investor,Benjamin Graham,"Jason Zweig, Warren Buffett",9780060555665,paperback,to-read,2019/02/18,"","",0,"",,,,,,,,,"",,business,No
How Do You Live?,Genzaburo Yoshino,"Bruno Navasky (Translator), Neil Gaiman (Contributor)",9781616209773,hardcover,to-read,2022/01/08,"","",0,"",,,,,,,,,"",,"",No
Romeo and Juliet,William Shakespeare,"",9780743477116,paperback,read,2015/08/12,"","",1,"",,,,,,,3.0,,"",,plays,No
Nanban: Japanese Soul Food,Tim Anderson,"",,,to-read,2018/06/27,"","",0,"",,,,,,,,,"",,cookbooks,No
Deadhouse Gates,Steven Erikson,"",9780765314291,paperback,read,2015/07/19,2018/01/09,2018/01/09,1,"",,,,,,,4.0,,"",,fantasy,No
Before the Coffee Gets Cold: Tales from the Café,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),9781529050868,paperback,to-read,2022/01/29,"","",0,"",,,,,,,,,"",,"",Yes
Bushido: The Soul of Japan. A Classic Essay on Samurai Ethics,Inazō Nitobe,"",9784770027313,hardcover,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
Magnolia Parks,Jessa Hastings,"",9781737281108,paperback,to-read,2022/11/06,"","",0,"",,,,,,,,,"",,"",No
Dragonflight,Anne McCaffrey,"",9780345484260,paperback,to-read,2017/01/06,"","",0,"",,,,,,,,,"",,fantasy,No
Lord of Chaos,Robert Jordan,"",9780812513752,paperback,to-read,2015/08/09,"","",0,"",,,,,,,,,"",,fantasy,No
"Bless Me, Ultima",Rudolfo Anaya,"",9780446675369,paperback,read,2015/08/12,"","",1,"",,,,,,,3.0,,"",,literary-fiction,No
The Last Wish,Andrzej Sapkowski,Danusia Stok (Translator),9780316149655,digital,to-read,2015/07/19,"","",0,"",,,,,,,,,"",,fantasy,Yes
Heir of Novron,Michael J. Sullivan,"",9780316187718,paperback,to-read,2017/08/28,"","",0,"",,,,,,,,,"",,fantasy,No
2666,Roberto Bolaño,Natasha Wimmer (Translator),"",,to-read,2022/06/12,"","",0,"",,,,,,,,,"",,"",No
The Myth of Sisyphus and Other Essays,"Justin O'Brien, Albert Camus","",0679733736,paperback,to-read,2022/08/30,"","",0,"",,,,,,,,,"",,"",No
The Merry Adventures of Robin Hood,Howard Pyle,"",9781435144743,hardcover,to-read,2018/06/09,"","",0,"",,,,,,,,,"",,"classics, fantasy",No
The Ocean at the End of the Lane,Neil Gaiman,"",9780063070707,paperback,to-read,2023/01/15,"","",0,"",,,,,,,,,"",,"",Yes
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"",9780593321201,hardcover,to-read,2022/09/03,"","",0,"",,,,,,,,,"",,"",No
Eragon,Christopher Paolini,"",9780375826696,paperback,to-read,2019/04/30,"","",0,"",,,,,,,,,"",,fantasy,No
The Giver,Lois Lowry,"",9780385732550,paperback,read,2021/05/20,"","",1,"",,,,,,,,,"",,"",No
Tony Takitani,"Ann Faison, Yao Michiko, Haruki Murakami","",,,to-read,2022/06/08,"","",0,"",,,,,,,,,"",,"",No
The Emperor's Soul,Brandon Sanderson,"",9781616960926,paperback,to-read,2015/08/15,"","",0,"",,,,,,,,,"",,fantasy,No
"The Border Trilogy: All the Pretty Horses, the Crossing, Cities of the Plain",Cormac McCarthy,"",9780375407932,hardcover,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
