Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Secret History,Donna Tartt,"",B005PRJT9Q,digital,read,2015/06/25,2022/02/15,2022/01/31-2022/02/15,1,"challenging, dark, emotional, sad, tense",slow,Plot,Yes,No,No,No,4.25,,"","",literary-fiction,Yes
Shadowmarch,Tad Williams,"",9781841494432,paperback,to-read,2017/09/09,"","",0,"",,,,,,,,,"",,fantasy,No
Grant,Ron Chernow,"",9781594204876,hardcover,to-read,2018/06/02,"","",0,"",,,,,,,,,"",,"history, non-fiction",No
Exciting Times,Naoise Dolan,"",9780062968746,hardcover,to-read,2022/07/29,"","",0,"",,,,,,,,,"",,"",No
Pale Fire,Vladimir Nabokov,"","",,to-read,2022/12/18,"","",0,"",,,,,,,,,"",,"",No
Fangs,Sarah Andersen,"",9781524860677,hardcover,to-read,2021/01/08,"","",0,"",,,,,,,,,"",,"",No
Sleepovers: Stories,Ashleigh Bryant Phillips,"",9781938235665,paperback,to-read,2022/04/02,"","",0,"",,,,,,,,,"",,"",No
Misery,Stephen King,"",9780450417399,paperback,to-read,2022/01/11,"","",0,"",,,,,,,,,"",,"",No
Night Watch,Terry Pratchett,"",9780552154307,paperback,to-read,2017/05/15,"","",0,"",,,,,,,,,"",,fantasy,No
Demian,Hermann Hesse,"",9780060931919,paperback,to-read,2022/01/12,"","",0,"",,,,,,,,,"",,"",No
Out,Natsuo Kirino,Stephen B. Snyder (Translator),9780593311950,paperback,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
The Crucible,Arthur Miller,Christopher Bigsby,9780142437339,paperback,read,2015/08/12,"","",1,"",,,,,,,3.0,,"",,plays,No
Marx in the Anthropocene: Towards the Idea of Degrowth Communism,"斎藤 幸平, Kohei Saito","",9781108933544,,to-read,2023/02/08,"","",0,"",,,,,,,,,"",,"",Yes
Stranger in a Strange Land,Robert A. Heinlein,"",9781101208960,digital,to-read,2021/11/14,"","",0,"",,,,,,,,,"",,science-fiction,Yes
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,"",9780671728687,paperback,to-read,2018/04/21,"","",0,"",,,,,,,,,"",,history,No
Lucky Peach Presents 101 Easy Asian Recipes,Peter Meehan,"",9780804187794,hardcover,to-read,2018/06/28,"","",0,"",,,,,,,,,"",,cookbooks,No
Everyone Knows Your Mother is a Witch,Rivka Galchen,"",9780374280468,hardcover,to-read,2022/08/10,"","",0,"",,,,,,,,,"",,"",No
Blindness,José Saramago,Giovanni Pontiero (Translator),9780156007757,paperback,to-read,2022/01/13,"","",0,"",,,,,,,,,"",,"",No
Ship of Destiny,Robin Hobb,"",9780553575651,paperback,read,2015/08/11,2017/05/28,2017/05/28,1,"",,,,,,,5.0,,"",,"fantasy, favorites",No
Meditations,Marcus Aurelius,Martin Hammond (Translator),9780140449334,paperback,to-read,2021/12/28,"","",0,"",,,,,,,,,"",,"",No
